date,GOLD
2001-01-02,
2001-01-03,-0.0007439092430725491
2001-01-04,-0.0040945468081144965
2001-01-05,0.002055690525135434
2001-01-08,0.0013054830287204666
2001-01-09,-0.0022350530825105963
2001-01-10,-0.011386970319208545
2001-01-11,-0.002454682779456374
2001-01-12,0.00037857278061714794
2001-01-15,-0.0022705771050143264
2001-01-16,-0.00037929072634157457
2001-01-17,0.0005691519635742104
2001-01-18,0.005119453924914863
2001-01-19,-0.0007545746085644289
2001-01-22,0.007929016424391033
2001-01-23,-0.0014984079415619744
2001-01-24,-0.006002626148940204
2001-01-25,0.0
2001-01-26,-0.0071711643706359185
2001-01-29,0.00038015586390405254
2001-01-30,0.010260307809234481
2001-01-31,0.0
2001-02-01,0.010532255031032278
2001-02-02,-0.004280662572119787
2001-02-05,-0.007289719626168201
2001-02-06,-0.007154961400866244
2001-02-07,-0.0011378721790250568
2001-02-08,-0.009303208657680084
2001-02-09,-0.0009582215408202588
2001-02-12,0.00268559370803767
2001-02-13,-0.0015305146355463206
2001-02-14,-0.004023759340869959
2001-02-15,-0.014813389765294227
2001-02-16,0.011325912907635072
2001-02-19,0.002703224560725914
2001-02-20,-0.013094550356248735
2001-02-21,0.008975609756097569
2001-02-22,0.0019338619222588616
2001-02-23,0.009457633661455356
2001-02-26,0.020458891013384495
2001-02-27,0.005246393104740399
2001-02-28,-0.0037278657968312645
2001-03-01,-0.0059869036482694815
2001-03-02,-0.01091661961227175
2001-03-05,0.0015223596574689413
2001-03-06,-0.009120273608208107
2001-03-07,0.006136145733461218
2001-03-08,0.015627977892128664
2001-03-09,0.0222555826609121
2001-03-12,0.0006241280563918927
2001-03-13,-0.017611447440836536
2001-03-14,-0.017553688141923374
2001-03-15,-0.009123740733700925
2001-03-16,-0.0072894686361019145
2001-03-19,0.0073429951690819895
2001-03-20,0.0038365624400538145
2001-03-21,0.005350659277661096
2001-03-22,-0.004181714502946243
2001-03-23,0.0015270089711778567
2001-03-26,0.0011435105774726395
2001-03-27,-0.00456881781838947
2001-03-28,-0.0053547523427041055
